Date,Community Reputation,Business Activity Observations,Informal Credit Relationships,Asset Ownership,Utility and Bill Payment Patterns,Local Market Standing,Participation in Welfare or Support Programs,Family and Dependents,Seasonal and Environmental Impact,Behavioral Indicators,Business Location and Infrastructure,Customer and Supplier Relationships,Observed Consistency,Training and Skill Development,Debt and Liabilities,Savings and Insurance,Aadhaar Card,Ration Card,Voter ID Card,Risk
2022-01-14,Excellent,273,Unknown,None,Partially Paid,Average,Multiple Programs,9,Moderate Seasonal Variation,High Risk-Taker,Low Traffic Area,48,Regularly Open,Ongoing Training,45037.82,Chit Fund Savings,Not Verified,APL,Verified,Yes
2022-01-15,Average,491,Good Credit History,Sewing Machine,Partially Paid,Moderately Popular,Multiple Programs,3,Moderate Seasonal Variation,Cautious,Prime Location,32,Regularly Open,Multiple Certifications,45192.53,Insurance Policy,Verified,BPL,Verified,Yes
2022-01-16,Unknown,71,Unknown,Shop Equipment,No Records,Low Footfall,None,2,Minimal Seasonal Variation,High Risk-Taker,Home-Based,31,Regularly Open,Ongoing Training,14066.15,None,Not Verified,Not Provided,Verified,Yes
2022-01-17,Average,275,Unknown,Multiple Assets,No Records,Moderately Popular,None,2,Moderate Seasonal Variation,Good Problem-Solver,Moderate Traffic,3,Regularly Open,Completed Skill Training,12022.02,Both Savings and Insurance,Verified,Antyodaya,Verified,No
2022-01-18,Poor,99,Has Defaults,Sewing Machine,No Records,Highly Popular,Enrolled in MUDRA,7,High Seasonal Variation,High Risk-Taker,Remote Area,24,Irregular Operations,No Formal Training,8449.93,Chit Fund Savings,Not Verified,BPL,Verified,Yes
2022-01-19,Unknown,27,Unknown,Livestock,Partially Paid,Moderately Popular,Enrolled in MUDRA,5,High Seasonal Variation,High Risk-Taker,Low Traffic Area,5,Irregular Operations,Multiple Certifications,15613.38,None,Verified,Not Provided,Not Verified,Yes
2022-01-20,Unknown,87,Has Defaults,Multiple Assets,On Time,Low Footfall,Enrolled in MUDRA,6,High Seasonal Variation,Indecisive,Home-Based,50,Irregular Operations,Multiple Certifications,38344.7,Both Savings and Insurance,Not Verified,BPL,Not Verified,Yes
2022-01-21,Average,411,Unknown,Multiple Assets,On Time,Highly Popular,Enrolled in MUDRA,4,Moderate Seasonal Variation,Cautious,Moderate Traffic,6,Regularly Open,Completed Skill Training,38809.49,Insurance Policy,Not Verified,BPL,Verified,Yes
2022-01-22,Good,208,Has Defaults,Multiple Assets,No Records,New Business,Enrolled in SHG,3,Minimal Seasonal Variation,High Risk-Taker,Home-Based,24,Regularly Open,Ongoing Training,33010.53,Both Savings and Insurance,Verified,BPL,Verified,Yes
2022-01-23,Average,17,Has Defaults,Shop Equipment,Delayed Payments,Highly Popular,Multiple Programs,6,High Seasonal Variation,Cautious,Moderate Traffic,28,Regularly Open,Multiple Certifications,46310.67,Chit Fund Savings,Verified,BPL,Not Verified,Yes
2022-01-24,Unknown,87,Unknown,Shop Equipment,Delayed Payments,Moderately Popular,Enrolled in MUDRA,9,Minimal Seasonal Variation,High Risk-Taker,Remote Area,26,Regularly Open,Completed Skill Training,6015.62,None,Verified,APL,Not Verified,Yes
2022-01-25,Excellent,246,Good Credit History,Livestock,On Time,Low Footfall,None,4,High Seasonal Variation,Indecisive,Remote Area,20,Regularly Open,Completed Skill Training,33175.65,None,Not Verified,Antyodaya,Verified,Yes
2022-01-26,Unknown,272,Good Credit History,Livestock,Partially Paid,Average,None,7,Minimal Seasonal Variation,Cautious,Home-Based,19,Regularly Open,Ongoing Training,40992.89,Chit Fund Savings,Verified,Not Provided,Not Verified,Yes
2022-01-27,Unknown,283,Unknown,Shop Equipment,Partially Paid,Average,Enrolled in SHG,4,Minimal Seasonal Variation,Good Problem-Solver,Low Traffic Area,8,Regularly Open,No Formal Training,9309.87,None,Verified,BPL,Verified,No
2022-01-28,Poor,35,Has Defaults,Shop Equipment,Partially Paid,Highly Popular,Multiple Programs,8,Weather Sensitive,Cautious,Home-Based,6,Irregular Operations,Ongoing Training,6665.68,Chit Fund Savings,Not Verified,Not Provided,Verified,Yes
2022-01-29,Average,10,Unknown,None,No Records,Moderately Popular,Multiple Programs,4,High Seasonal Variation,High Risk-Taker,Prime Location,23,Regularly Open,No Formal Training,5410.37,Chit Fund Savings,Not Verified,Antyodaya,Not Verified,Yes
2022-01-30,Excellent,389,Has Defaults,None,Delayed Payments,Average,None,9,Minimal Seasonal Variation,Cautious,Low Traffic Area,3,Regularly Open,No Formal Training,33593.65,Insurance Policy,Verified,Antyodaya,Not Verified,Yes
2022-01-31,Excellent,415,Good Credit History,Shop Equipment,Partially Paid,Average,None,2,Minimal Seasonal Variation,Good Problem-Solver,Remote Area,36,Irregular Operations,Ongoing Training,44603.48,Chit Fund Savings,Not Verified,APL,Verified,Yes
2022-02-01,Good,483,Good Credit History,None,No Records,Moderately Popular,None,6,Moderate Seasonal Variation,High Risk-Taker,Remote Area,38,Irregular Operations,Multiple Certifications,28937.11,None,Not Verified,Not Provided,Verified,Yes
2022-02-02,Average,387,Good Credit History,Sewing Machine,Partially Paid,Average,Enrolled in SHG,6,Minimal Seasonal Variation,Cautious,Moderate Traffic,42,Irregular Operations,Completed Skill Training,1262.0,Both Savings and Insurance,Verified,BPL,Verified,No
2022-02-03,Unknown,303,Good Credit History,Vehicle,No Records,Highly Popular,None,4,Moderate Seasonal Variation,Cautious,Home-Based,9,Regularly Open,Multiple Certifications,14900.42,Insurance Policy,Not Verified,Antyodaya,Verified,Yes
2022-02-04,Average,275,Unknown,Vehicle,On Time,Moderately Popular,Enrolled in SHG,6,Minimal Seasonal Variation,Indecisive,Prime Location,7,Regularly Open,Completed Skill Training,44266.19,Insurance Policy,Verified,APL,Not Verified,Yes
2022-02-05,Excellent,471,Good Credit History,Shop Equipment,No Records,Low Footfall,None,2,Moderate Seasonal Variation,High Risk-Taker,Moderate Traffic,40,Irregular Operations,Multiple Certifications,29471.57,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified,Yes
2022-02-06,Good,109,Good Credit History,Vehicle,Partially Paid,Highly Popular,None,8,Minimal Seasonal Variation,High Risk-Taker,Moderate Traffic,9,Regularly Open,No Formal Training,7898.22,Insurance Policy,Verified,APL,Not Verified,Yes
2022-02-07,Poor,304,Unknown,Shop Equipment,Delayed Payments,Moderately Popular,Enrolled in MUDRA,2,High Seasonal Variation,Indecisive,Moderate Traffic,2,Regularly Open,No Formal Training,43476.18,Chit Fund Savings,Verified,Not Provided,Not Verified,Yes
2022-02-08,Average,122,Has Defaults,Vehicle,No Records,Low Footfall,Multiple Programs,9,Minimal Seasonal Variation,Cautious,Prime Location,49,Irregular Operations,Multiple Certifications,6594.73,Both Savings and Insurance,Not Verified,APL,Not Verified,No
2022-02-09,Unknown,116,Good Credit History,Livestock,Partially Paid,Low Footfall,Enrolled in MUDRA,2,Weather Sensitive,High Risk-Taker,Moderate Traffic,24,Irregular Operations,Ongoing Training,39505.65,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified,Yes
2022-02-10,Good,117,Good Credit History,Vehicle,Delayed Payments,New Business,Multiple Programs,1,Minimal Seasonal Variation,Cautious,Remote Area,21,Irregular Operations,Multiple Certifications,44875.82,Chit Fund Savings,Verified,Not Provided,Verified,Yes
2022-02-11,Excellent,109,Unknown,Sewing Machine,Delayed Payments,Highly Popular,Multiple Programs,6,Moderate Seasonal Variation,High Risk-Taker,Remote Area,3,Irregular Operations,No Formal Training,48321.12,Insurance Policy,Not Verified,BPL,Not Verified,Yes
2022-02-12,Poor,279,Has Defaults,Livestock,No Records,Low Footfall,Enrolled in SHG,4,Moderate Seasonal Variation,Cautious,Low Traffic Area,37,Irregular Operations,No Formal Training,41966.92,None,Not Verified,Antyodaya,Verified,Yes
2022-02-13,Good,484,Good Credit History,Livestock,On Time,Moderately Popular,None,1,Moderate Seasonal Variation,High Risk-Taker,Home-Based,11,Irregular Operations,Multiple Certifications,32842.74,Insurance Policy,Verified,APL,Verified,Yes
2022-02-14,Excellent,278,Unknown,Sewing Machine,On Time,Low Footfall,Enrolled in SHG,9,Minimal Seasonal Variation,Good Problem-Solver,Remote Area,4,Regularly Open,No Formal Training,20775.66,Insurance Policy,Not Verified,APL,Verified,No
2022-02-15,Average,351,Good Credit History,Shop Equipment,Delayed Payments,New Business,Enrolled in MUDRA,3,High Seasonal Variation,Good Problem-Solver,Moderate Traffic,2,Regularly Open,Multiple Certifications,42940.98,Insurance Policy,Verified,Not Provided,Not Verified,Yes
2022-02-16,Unknown,311,Unknown,Vehicle,On Time,New Business,Enrolled in SHG,7,Minimal Seasonal Variation,Cautious,Prime Location,47,Regularly Open,No Formal Training,16277.4,Chit Fund Savings,Verified,Not Provided,Verified,Yes
2022-02-17,Average,391,Good Credit History,Livestock,No Records,Moderately Popular,Enrolled in MUDRA,4,Weather Sensitive,Good Problem-Solver,Low Traffic Area,27,Irregular Operations,No Formal Training,27231.56,Chit Fund Savings,Verified,BPL,Not Verified,No
2022-02-18,Average,245,Unknown,Shop Equipment,No Records,New Business,Multiple Programs,4,Moderate Seasonal Variation,High Risk-Taker,Prime Location,10,Regularly Open,Ongoing Training,23090.96,Insurance Policy,Not Verified,Antyodaya,Verified,Yes
2022-02-19,Excellent,141,Unknown,Sewing Machine,No Records,Moderately Popular,None,5,Moderate Seasonal Variation,Good Problem-Solver,Low Traffic Area,25,Regularly Open,Ongoing Training,11432.98,Both Savings and Insurance,Not Verified,Antyodaya,Verified,No
2022-02-20,Average,401,Good Credit History,Sewing Machine,Partially Paid,Highly Popular,Multiple Programs,1,Minimal Seasonal Variation,Cautious,Home-Based,49,Regularly Open,Completed Skill Training,13863.53,None,Not Verified,Antyodaya,Not Verified,No
2022-02-21,Unknown,299,Good Credit History,Multiple Assets,Delayed Payments,Moderately Popular,None,3,Moderate Seasonal Variation,Indecisive,Moderate Traffic,19,Irregular Operations,Completed Skill Training,21323.84,None,Verified,Antyodaya,Verified,Yes
2022-02-22,Unknown,203,Good Credit History,None,Delayed Payments,Moderately Popular,Enrolled in SHG,9,Moderate Seasonal Variation,High Risk-Taker,Prime Location,36,Irregular Operations,Completed Skill Training,5884.95,Both Savings and Insurance,Verified,Antyodaya,Not Verified,Yes
2022-02-23,Excellent,393,Good Credit History,Multiple Assets,On Time,Average,Enrolled in MUDRA,1,High Seasonal Variation,Good Problem-Solver,Prime Location,40,Regularly Open,Ongoing Training,33390.87,Both Savings and Insurance,Not Verified,BPL,Verified,Yes
2022-02-24,Average,493,Unknown,Shop Equipment,No Records,New Business,Enrolled in SHG,6,Weather Sensitive,Cautious,Home-Based,46,Irregular Operations,Ongoing Training,30660.15,Insurance Policy,Not Verified,Antyodaya,Not Verified,Yes
2022-02-25,Unknown,167,Has Defaults,None,Partially Paid,Low Footfall,Enrolled in SHG,3,High Seasonal Variation,Cautious,Remote Area,24,Regularly Open,Ongoing Training,7408.44,None,Not Verified,Not Provided,Not Verified,No
2022-02-26,Average,203,Unknown,Multiple Assets,Partially Paid,Average,Multiple Programs,4,High Seasonal Variation,Good Problem-Solver,Remote Area,7,Regularly Open,Multiple Certifications,29424.05,Both Savings and Insurance,Not Verified,Antyodaya,Verified,Yes
2022-02-27,Good,388,Good Credit History,Livestock,Partially Paid,Moderately Popular,None,3,Minimal Seasonal Variation,High Risk-Taker,Home-Based,12,Irregular Operations,Ongoing Training,5267.03,Both Savings and Insurance,Verified,Antyodaya,Verified,Yes
2022-02-28,Unknown,417,Good Credit History,Vehicle,On Time,Average,None,8,Weather Sensitive,High Risk-Taker,Home-Based,44,Regularly Open,Completed Skill Training,1940.51,Chit Fund Savings,Verified,Not Provided,Verified,Yes
2022-03-01,Average,219,Unknown,Sewing Machine,No Records,Highly Popular,Enrolled in MUDRA,8,Weather Sensitive,High Risk-Taker,Home-Based,39,Irregular Operations,No Formal Training,6759.4,None,Not Verified,APL,Verified,Yes
2022-03-02,Unknown,111,Has Defaults,Shop Equipment,Partially Paid,Low Footfall,None,2,Minimal Seasonal Variation,Cautious,Low Traffic Area,44,Irregular Operations,Completed Skill Training,5368.06,Both Savings and Insurance,Not Verified,Not Provided,Verified,No
2022-03-03,Average,462,Has Defaults,None,Delayed Payments,Average,Enrolled in SHG,4,Weather Sensitive,Good Problem-Solver,Low Traffic Area,31,Irregular Operations,Completed Skill Training,32074.74,Both Savings and Insurance,Not Verified,APL,Not Verified,Yes
2022-03-04,Good,154,Unknown,Shop Equipment,Partially Paid,Highly Popular,Enrolled in MUDRA,7,Minimal Seasonal Variation,Cautious,Prime Location,29,Irregular Operations,Completed Skill Training,1279.51,None,Not Verified,APL,Verified,No
2022-03-05,Excellent,184,Has Defaults,Shop Equipment,Partially Paid,Highly Popular,Enrolled in SHG,1,Moderate Seasonal Variation,Indecisive,Prime Location,16,Regularly Open,Multiple Certifications,5486.24,Chit Fund Savings,Verified,Antyodaya,Verified,No
2022-03-06,Average,149,Has Defaults,None,Partially Paid,Moderately Popular,Multiple Programs,5,Moderate Seasonal Variation,Cautious,Remote Area,18,Regularly Open,Multiple Certifications,47424.78,Chit Fund Savings,Verified,Antyodaya,Not Verified,Yes
2022-03-07,Average,156,Good Credit History,Sewing Machine,Delayed Payments,Average,Multiple Programs,1,Weather Sensitive,Cautious,Prime Location,19,Regularly Open,Ongoing Training,32102.21,Both Savings and Insurance,Verified,Not Provided,Verified,Yes
2022-03-08,Poor,295,Has Defaults,Shop Equipment,Delayed Payments,New Business,Multiple Programs,2,High Seasonal Variation,Good Problem-Solver,Moderate Traffic,31,Irregular Operations,Completed Skill Training,20896.67,Insurance Policy,Verified,APL,Not Verified,Yes
2022-03-09,Good,477,Unknown,Shop Equipment,Partially Paid,Moderately Popular,None,4,High Seasonal Variation,High Risk-Taker,Home-Based,8,Regularly Open,Multiple Certifications,48851.43,Chit Fund Savings,Not Verified,Antyodaya,Not Verified,Yes
2022-03-10,Excellent,91,Has Defaults,Sewing Machine,On Time,New Business,Enrolled in MUDRA,3,Weather Sensitive,High Risk-Taker,Prime Location,40,Irregular Operations,No Formal Training,40576.78,None,Verified,Not Provided,Not Verified,Yes
2022-03-11,Good,410,Good Credit History,Shop Equipment,No Records,Low Footfall,None,4,Moderate Seasonal Variation,Cautious,Home-Based,27,Regularly Open,Ongoing Training,48364.26,Both Savings and Insurance,Verified,APL,Verified,Yes
2022-03-12,Excellent,301,Good Credit History,Shop Equipment,On Time,Highly Popular,Enrolled in SHG,7,Weather Sensitive,High Risk-Taker,Home-Based,21,Irregular Operations,No Formal Training,32145.2,None,Verified,APL,Not Verified,Yes
2022-03-13,Average,109,Unknown,Sewing Machine,Delayed Payments,New Business,Enrolled in MUDRA,8,Minimal Seasonal Variation,Cautious,Low Traffic Area,12,Irregular Operations,Ongoing Training,30859.36,Insurance Policy,Verified,Not Provided,Verified,Yes
2022-03-14,Poor,125,Has Defaults,Livestock,Delayed Payments,Highly Popular,Enrolled in SHG,4,Minimal Seasonal Variation,Indecisive,Prime Location,1,Regularly Open,No Formal Training,21878.48,Insurance Policy,Verified,BPL,Not Verified,Yes
2022-03-15,Average,432,Unknown,None,No Records,Moderately Popular,None,5,Minimal Seasonal Variation,Cautious,Prime Location,45,Irregular Operations,No Formal Training,20980.37,Both Savings and Insurance,Verified,Antyodaya,Not Verified,No
2022-03-16,Good,50,Has Defaults,Vehicle,On Time,Average,Enrolled in MUDRA,10,Moderate Seasonal Variation,Good Problem-Solver,Home-Based,16,Irregular Operations,Multiple Certifications,10967.39,Both Savings and Insurance,Not Verified,Antyodaya,Verified,No
2022-03-17,Excellent,231,Good Credit History,Livestock,Partially Paid,Moderately Popular,Enrolled in SHG,6,Minimal Seasonal Variation,Good Problem-Solver,Moderate Traffic,16,Regularly Open,Completed Skill Training,27543.22,None,Not Verified,Not Provided,Not Verified,No
2022-03-18,Unknown,262,Good Credit History,None,On Time,Highly Popular,None,7,Moderate Seasonal Variation,High Risk-Taker,Home-Based,28,Regularly Open,Multiple Certifications,38580.45,Insurance Policy,Verified,Antyodaya,Verified,Yes
2022-03-19,Unknown,323,Unknown,None,No Records,Average,Multiple Programs,9,Minimal Seasonal Variation,Indecisive,Home-Based,32,Regularly Open,No Formal Training,22796.3,Both Savings and Insurance,Not Verified,Not Provided,Not Verified,Yes
2022-03-20,Excellent,327,Unknown,Shop Equipment,Partially Paid,Low Footfall,Enrolled in MUDRA,1,Moderate Seasonal Variation,High Risk-Taker,Low Traffic Area,45,Irregular Operations,Ongoing Training,40419.99,None,Not Verified,Antyodaya,Not Verified,Yes
2022-03-21,Excellent,220,Good Credit History,None,Partially Paid,Low Footfall,Enrolled in MUDRA,9,High Seasonal Variation,Cautious,Home-Based,12,Regularly Open,No Formal Training,37421.88,Both Savings and Insurance,Verified,BPL,Verified,Yes
2022-03-22,Good,74,Good Credit History,Vehicle,No Records,New Business,Enrolled in SHG,8,High Seasonal Variation,High Risk-Taker,Remote Area,13,Regularly Open,Ongoing Training,33218.06,Chit Fund Savings,Not Verified,Not Provided,Not Verified,Yes
2022-03-23,Poor,110,Has Defaults,None,Delayed Payments,Low Footfall,Enrolled in SHG,6,Moderate Seasonal Variation,Cautious,Moderate Traffic,11,Regularly Open,Ongoing Training,12361.97,None,Verified,APL,Verified,Yes
2022-03-24,Unknown,165,Has Defaults,Livestock,On Time,Moderately Popular,Enrolled in MUDRA,8,Moderate Seasonal Variation,High Risk-Taker,Home-Based,48,Irregular Operations,Ongoing Training,21660.36,None,Not Verified,APL,Verified,Yes
2022-03-25,Average,441,Unknown,Vehicle,Partially Paid,Average,Enrolled in SHG,10,Weather Sensitive,Cautious,Remote Area,33,Irregular Operations,Completed Skill Training,11758.16,Both Savings and Insurance,Verified,Antyodaya,Not Verified,Yes
2022-03-26,Poor,187,Unknown,Sewing Machine,Delayed Payments,Average,Enrolled in SHG,10,Minimal Seasonal Variation,High Risk-Taker,Remote Area,19,Regularly Open,Multiple Certifications,32801.68,Both Savings and Insurance,Not Verified,APL,Not Verified,Yes
2022-03-27,Good,145,Unknown,None,On Time,Highly Popular,Enrolled in SHG,1,Weather Sensitive,Indecisive,Moderate Traffic,25,Irregular Operations,Ongoing Training,26268.97,Both Savings and Insurance,Verified,Not Provided,Not Verified,No
2022-03-28,Poor,263,Has Defaults,Shop Equipment,Partially Paid,New Business,Enrolled in SHG,5,Weather Sensitive,Indecisive,Moderate Traffic,7,Irregular Operations,Multiple Certifications,1025.61,Chit Fund Savings,Not Verified,Not Provided,Verified,Yes
2022-03-29,Average,20,Good Credit History,Vehicle,No Records,New Business,None,6,Weather Sensitive,High Risk-Taker,Low Traffic Area,41,Irregular Operations,Ongoing Training,44438.55,Both Savings and Insurance,Verified,APL,Not Verified,Yes
2022-03-30,Unknown,118,Has Defaults,Shop Equipment,Delayed Payments,Average,None,8,Moderate Seasonal Variation,Cautious,Home-Based,21,Regularly Open,Completed Skill Training,11188.78,Insurance Policy,Verified,BPL,Verified,No
2022-03-31,Unknown,75,Good Credit History,None,On Time,New Business,Enrolled in MUDRA,7,Weather Sensitive,High Risk-Taker,Home-Based,48,Irregular Operations,Multiple Certifications,34082.74,Chit Fund Savings,Not Verified,Antyodaya,Not Verified,Yes
2022-04-01,Poor,202,Good Credit History,None,Delayed Payments,Moderately Popular,Multiple Programs,3,Weather Sensitive,Indecisive,Home-Based,33,Regularly Open,Ongoing Training,46004.67,None,Verified,APL,Verified,Yes
2022-04-02,Unknown,141,Unknown,Shop Equipment,Partially Paid,Moderately Popular,Enrolled in SHG,3,Minimal Seasonal Variation,Indecisive,Moderate Traffic,4,Regularly Open,Completed Skill Training,41905.07,Chit Fund Savings,Not Verified,Antyodaya,Not Verified,Yes
2022-04-03,Average,276,Unknown,Sewing Machine,Partially Paid,Low Footfall,Multiple Programs,3,High Seasonal Variation,High Risk-Taker,Low Traffic Area,1,Irregular Operations,Ongoing Training,17387.93,Chit Fund Savings,Not Verified,APL,Not Verified,Yes
2022-04-04,Unknown,473,Unknown,Sewing Machine,Delayed Payments,New Business,Enrolled in SHG,1,Minimal Seasonal Variation,High Risk-Taker,Remote Area,15,Irregular Operations,Ongoing Training,11316.58,Both Savings and Insurance,Not Verified,BPL,Not Verified,Yes
2022-04-05,Unknown,491,Has Defaults,Shop Equipment,Delayed Payments,Moderately Popular,None,9,Weather Sensitive,Cautious,Moderate Traffic,50,Irregular Operations,No Formal Training,10032.72,Chit Fund Savings,Not Verified,Antyodaya,Verified,No
2022-04-06,Unknown,464,Good Credit History,Sewing Machine,No Records,Low Footfall,Multiple Programs,6,High Seasonal Variation,High Risk-Taker,Moderate Traffic,3,Irregular Operations,Multiple Certifications,24421.18,Chit Fund Savings,Not Verified,APL,Not Verified,Yes
2022-04-07,Excellent,94,Has Defaults,Vehicle,On Time,New Business,Enrolled in SHG,10,Weather Sensitive,Good Problem-Solver,Prime Location,10,Regularly Open,Completed Skill Training,49258.61,None,Verified,Not Provided,Not Verified,Yes
2022-04-08,Good,499,Has Defaults,Vehicle,On Time,Average,Enrolled in MUDRA,2,High Seasonal Variation,Cautious,Moderate Traffic,39,Regularly Open,Completed Skill Training,44960.66,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified,Yes
2022-04-09,Poor,137,Unknown,Shop Equipment,On Time,Moderately Popular,Multiple Programs,9,High Seasonal Variation,Indecisive,Prime Location,28,Regularly Open,Completed Skill Training,36236.0,None,Verified,APL,Not Verified,Yes
2022-04-10,Poor,109,Has Defaults,Shop Equipment,Delayed Payments,Moderately Popular,Multiple Programs,1,High Seasonal Variation,High Risk-Taker,Remote Area,1,Regularly Open,Multiple Certifications,44400.25,Insurance Policy,Not Verified,BPL,Not Verified,Yes
